,psraid,form_abc,q2a,q2b,q2ef2,q6f2,q7ef2,q7ff2,q7gf2,q7hf2,q8df2,q8ef2,q8ff2,q11fa,q12fb,q13fc,educ2,schl,qe1,qe3,q16,q17,q18,q22f2,q23,q27,q32,q35,q49,q50a,q50b,q50c,q53ef2,q53ff2,q53gf2,q53hf2,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,sex,age,recage,recage2,gen5,marital,parent,hisp,race3m1,race3m2,race3m3,race3m4,racethn,racethn2,racecmb,birth_hisp,usborn1a,relig,chr,born,attend,income,reg,party,partyln,partysum,partyideo,ideo,ownrent,labor,hh1,hh3,ql1,ql1a,qc1,usr,cregion,state,density,child,laborsum,adults,ll,cp
2596,205050,3,1,2,2,2,2,2,2,1,2,2,1,NA,NA,2,8,6,3,1,1,NA,4,1,2,2,2,1,2,1,1,1,3,2,1,2,1,1,3,3,1,3,1,5,1,58,5,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,2,4,NA,2,5,99,1,3,9,9,3,5,1,2,4,4,NA,NA,1,U,2,26,5,0,1,3,1,1
2473,204611,2,1,2,2,2,1,2,3,1,3,2,2,NA,3,NA,8,6,3,1,1,NA,3,1,1,1,2,1,3,3,2,2,3,3,2,2,2,2,2,5,2,3,2,4,1,54,4,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,9,2,3,9,9,3,3,1,4,4,3,NA,NA,1,S,4,15,4,1,1,3,1,1
4991,214875,1,1,3,1,2,2,2,1,2,1,1,1,3,NA,NA,8,4,3,1,1,NA,3,1,2,1,2,2,9,1,1,1,3,4,4,2,2,2,2,4,2,2,2,2,2,34,2,2,5,1,1,2,1,2,NA,NA,4,5,4,NA,1,2,NA,2,2,6,1,2,NA,2,5,5,2,4,3,2,NA,NA,2,U,2,17,5,1,1,2,0,1
3050,206870,2,1,2,5,2,2,2,1,1,3,3,1,NA,3,NA,3,6,1,2,1,NA,4,3,2,1,NA,1,2,NA,NA,NA,2,3,2,2,2,2,2,5,2,2,2,5,1,70,6,4,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,6,1,3,9,9,3,2,1,4,2,2,NA,NA,1,U,3,37,2,0,1,2,1,1
3322,208016,1,1,1,5,1,1,1,2,1,9,1,4,3,NA,NA,4,4,3,2,1,NA,4,2,3,1,3,2,1,NA,NA,NA,5,4,3,4,2,2,2,4,1,4,2,3,1,18,1,1,5,6,2,2,1,NA,NA,NA,1,1,1,NA,2,5,NA,NA,1,8,2,1,NA,1,1,2,3,4,3,3,NA,NA,2,U,2,17,5,0,1,3,0,1
2917,206314,1,1,2,2,1,1,1,1,1,1,1,3,1,NA,NA,3,6,3,1,1,NA,1,2,1,1,1,1,1,NA,NA,NA,2,2,1,1,1,1,1,1,1,2,1,2,2,19,1,1,5,6,1,1,1,NA,NA,NA,3,3,1,1,NA,12,NA,NA,3,4,3,2,NA,2,4,2,3,4,9,9,NA,NA,1,S,4,49,3,99,1,2,1,1
2555,204909,1,2,5,5,2,2,2,2,2,3,1,2,4,NA,NA,6,6,3,2,2,1,4,3,1,2,3,2,3,2,1,3,3,3,3,3,1,2,2,2,3,3,1,2,1,66,6,4,3,3,2,2,9,NA,NA,NA,9,9,9,NA,1,11,1,2,2,1,1,3,9,9,3,2,5,4,1,NA,NA,NA,2,S,4,6,4,0,1,1,0,1
4081,210868,1,1,1,2,2,2,1,1,1,4,4,4,4,NA,NA,3,6,3,1,1,NA,1,2,2,1,1,1,2,NA,NA,NA,4,3,3,1,1,1,1,1,1,3,1,1,1,40,3,2,4,1,2,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,2,4,9,1,1,NA,1,1,2,1,4,2,2,NA,NA,2,S,1,9,4,0,1,2,0,1
412,101797,2,2,2,1,2,2,2,9,1,1,1,2,NA,2,NA,3,6,3,1,1,NA,1,1,1,2,1,1,3,NA,NA,NA,4,3,3,2,3,3,3,5,5,5,1,3,2,51,4,3,4,3,1,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,1,5,7,1,3,1,1,3,2,1,1,3,1,1,NA,NA,S,3,12,2,2,1,1,1,1
4772,213823,2,2,1,2,2,2,2,1,1,3,3,2,NA,2,NA,3,6,3,2,2,1,3,3,2,1,1,1,1,NA,NA,NA,4,2,2,4,2,1,2,4,3,2,1,3,1,18,1,1,5,6,2,2,1,NA,NA,NA,1,1,1,NA,1,3,NA,2,2,6,1,3,1,1,3,3,4,4,4,4,NA,NA,1,R,4,49,1,0,1,3,1,1
2393,204289,1,2,2,1,2,2,1,1,1,4,2,1,2,NA,NA,4,6,3,1,1,NA,4,1,1,1,1,1,3,NA,NA,NA,4,2,2,1,1,1,1,3,3,3,1,1,1,60,5,3,3,3,2,2,1,NA,NA,NA,1,1,1,NA,1,5,NA,NA,9,8,9,3,9,9,3,3,1,4,1,NA,NA,NA,2,U,2,39,5,0,1,1,0,1
3041,206836,2,1,1,1,1,2,2,1,1,3,2,2,NA,1,NA,8,6,3,1,2,1,1,1,3,1,1,1,1,1,1,1,2,2,3,3,2,2,3,2,2,3,2,2,2,33,2,2,5,1,1,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,7,1,1,NA,1,1,1,1,4,4,2,NA,NA,2,R,4,35,1,2,1,2,0,1
4332,211866,3,1,1,1,1,2,2,1,1,2,1,1,NA,NA,2,8,6,3,1,1,NA,1,1,1,2,1,1,1,1,2,2,3,2,2,2,1,2,3,5,1,2,1,4,1,54,4,3,3,1,1,2,1,NA,NA,NA,1,1,1,NA,1,10,NA,NA,5,9,1,2,NA,2,5,4,1,4,4,3,NA,NA,1,S,3,51,3,1,1,3,1,1
1577,201227,2,1,2,3,2,1,2,1,1,2,1,3,NA,2,NA,4,6,3,1,1,NA,1,1,2,1,2,2,1,NA,NA,NA,3,1,4,2,1,2,2,5,1,4,2,3,1,40,3,2,4,1,1,2,1,3,NA,NA,4,5,4,NA,1,12,NA,NA,6,9,2,4,9,9,9,9,2,NA,4,2,NA,NA,1,S,4,15,4,2,1,2,1,1
