,psraid,form_abc,q2a,q2b,q2ef2,q6f2,q7ef2,q7ff2,q7gf2,q7hf2,q8df2,q8ef2,q8ff2,q11fa,q12fb,q13fc,educ2,schl,qe1,qe3,q16,q17,q18,q22f2,q23,q27,q32,q35,q49,q50a,q50b,q50c,q53ef2,q53ff2,q53gf2,q53hf2,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,sex,age,recage,recage2,gen5,marital,parent,hisp,race3m1,race3m2,race3m3,race3m4,racethn,racethn2,racecmb,birth_hisp,usborn1a,relig,chr,born,attend,income,reg,party,partyln,partysum,partyideo,ideo,ownrent,labor,hh1,hh3,ql1,ql1a,qc1,usr,cregion,state,density,child,laborsum,adults,ll,cp
1578,201228,2,1,2,1,2,2,2,1,2,1,4,2,NA,2,NA,3,6,3,1,1,NA,1,1,2,2,1,1,2,NA,NA,NA,3,1,1,1,1,2,2,4,2,2,1,2,1,38,3,2,4,1,1,2,1,6,NA,NA,4,5,4,NA,1,13,NA,1,3,6,3,3,1,1,3,3,4,NA,6,4,NA,NA,1,S,4,15,4,2,1,3,1,1
3291,207866,3,3,4,2,2,1,2,1,2,1,1,1,NA,NA,2,3,4,3,1,1,NA,1,2,1,2,1,2,2,NA,NA,NA,3,1,3,1,2,1,3,2,1,3,2,2,1,23,1,1,5,6,2,2,3,NA,NA,NA,4,5,3,NA,2,6,NA,NA,1,4,3,3,2,2,3,3,4,4,6,4,NA,NA,2,U,1,36,5,2,1,3,0,1
1267,200033,3,1,2,1,2,2,2,1,1,4,2,2,NA,NA,2,8,6,3,1,2,1,2,1,2,2,1,1,2,1,1,1,2,3,2,2,3,2,3,3,3,3,2,4,1,34,2,2,5,1,1,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,7,1,1,NA,1,1,2,1,NA,5,2,NA,NA,2,S,2,27,3,3,1,2,0,1
1315,200246,3,1,4,2,1,2,2,1,1,4,2,1,NA,NA,2,4,4,3,1,1,NA,2,3,1,1,1,1,1,NA,NA,NA,1,3,4,1,1,2,1,5,3,5,2,2,1,21,1,1,5,6,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,4,9,1,3,2,2,3,1,2,NA,8,9,NA,NA,2,U,4,6,2,99,1,2,0,1
1405,200607,3,1,2,1,1,2,2,1,1,1,2,1,NA,NA,2,8,6,3,1,1,NA,1,1,1,1,1,1,1,3,1,2,4,3,2,1,2,1,3,5,1,3,2,5,2,60,5,3,3,3,1,2,1,NA,NA,NA,1,1,1,NA,1,9,NA,NA,6,7,1,2,NA,2,5,4,1,NA,2,1,NA,NA,2,U,4,53,4,1,1,1,0,1
1781,201930,3,1,2,1,1,2,2,2,2,2,2,2,NA,NA,1,6,6,3,1,1,NA,3,1,2,2,1,1,1,1,1,1,4,1,2,2,1,2,3,5,3,2,2,4,1,37,3,2,4,2,1,2,1,5,NA,NA,4,5,4,NA,1,13,1,1,3,8,3,1,NA,1,2,3,1,NA,5,3,NA,NA,2,S,1,34,5,2,1,3,0,1
2838,205982,3,1,2,2,2,2,2,1,1,2,2,3,NA,NA,2,6,6,3,1,1,NA,3,1,1,1,3,1,3,2,1,1,3,1,4,1,1,3,3,1,4,3,3,2,1,59,5,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,3,8,3,1,NA,1,1,1,1,4,2,2,NA,NA,2,R,2,38,1,0,1,2,0,1
635,102682,2,1,3,1,2,2,2,1,1,1,1,1,NA,4,NA,3,6,3,1,1,NA,4,1,1,2,1,1,2,NA,NA,NA,2,2,2,2,1,2,1,4,3,3,1,2,2,54,4,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,9,1,1,NA,1,1,2,1,2,3,3,1,NA,NA,U,2,39,2,0,1,3,1,1
280,101125,1,1,1,1,2,2,2,3,9,1,2,1,3,NA,NA,6,4,3,1,2,1,3,1,1,2,1,2,3,2,1,1,3,1,3,1,1,1,1,3,2,2,1,1,2,55,5,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,11,1,2,1,6,1,3,9,9,3,3,1,NA,3,3,1,NA,NA,R,2,27,3,0,1,3,1,1
3294,207871,1,2,3,1,1,2,2,1,2,2,2,1,3,NA,NA,6,6,3,1,2,1,2,2,1,1,2,1,1,2,1,2,3,1,1,1,2,2,2,4,3,3,2,3,2,48,4,2,4,6,1,2,2,NA,NA,NA,2,2,2,NA,2,12,NA,NA,6,4,1,2,NA,2,5,4,2,1,4,2,NA,NA,2,U,4,8,3,2,1,2,0,1
3347,208105,1,2,4,2,1,1,2,2,2,2,2,2,2,NA,NA,3,6,3,1,1,NA,1,1,2,1,1,1,2,NA,NA,NA,4,1,2,1,1,2,2,3,3,2,1,1,1,32,2,2,5,4,2,2,3,NA,NA,NA,4,5,3,NA,1,1,NA,1,1,1,3,4,9,9,9,9,5,4,3,3,NA,NA,2,S,3,12,2,0,1,3,0,1
3730,209674,2,1,2,1,1,2,2,1,1,2,2,2,NA,2,NA,3,6,3,1,1,NA,4,1,3,1,2,1,2,NA,NA,NA,3,2,2,1,1,1,1,4,1,3,2,3,2,31,2,2,5,1,1,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,2,2,8,1,2,NA,2,5,4,1,4,3,2,NA,NA,2,S,3,24,2,1,1,2,0,1
1505,201020,3,1,1,2,1,2,2,1,1,2,3,1,NA,NA,3,8,6,3,1,1,NA,1,1,2,2,3,1,1,2,1,1,3,3,4,2,1,1,1,5,1,5,1,5,2,35,3,2,5,1,2,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,6,9,1,2,NA,2,5,5,2,NA,2,2,NA,NA,2,U,4,6,5,0,1,2,0,1
1512,201045,3,2,2,1,2,1,2,1,1,1,1,3,NA,NA,2,5,6,3,2,1,NA,5,2,1,1,1,1,2,1,1,2,3,2,2,1,1,2,2,5,5,5,2,3,1,34,2,2,5,6,1,2,2,NA,NA,NA,2,2,2,NA,1,13,1,1,4,3,1,2,NA,2,5,4,2,NA,5,2,NA,NA,2,U,2,17,3,3,1,2,0,1
1761,201843,2,2,2,1,2,1,2,1,1,4,3,1,NA,3,NA,5,6,3,1,1,NA,2,1,1,2,3,1,2,1,1,1,4,1,2,2,2,2,2,4,3,2,2,3,2,65,6,4,3,2,2,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,2,5,7,1,1,NA,1,2,3,1,NA,2,2,NA,NA,2,R,4,8,1,0,1,2,0,1
4037,210736,1,2,2,2,2,2,2,2,2,1,1,1,1,NA,NA,3,6,3,1,1,NA,1,3,2,2,2,2,1,NA,NA,NA,1,1,1,1,1,1,1,4,4,1,1,1,2,51,4,3,4,1,1,2,2,NA,NA,NA,2,2,2,NA,1,1,NA,1,4,5,1,2,NA,2,4,2,1,4,3,2,NA,NA,1,S,3,37,2,1,1,2,1,1
2633,205176,2,1,4,1,2,1,1,1,1,4,2,1,NA,4,NA,6,6,3,1,1,NA,1,1,2,1,2,1,1,4,2,4,4,3,4,1,1,3,4,5,2,3,1,5,2,45,4,2,4,3,1,2,1,NA,NA,NA,1,1,1,NA,1,5,NA,NA,6,6,1,2,NA,2,4,3,1,4,3,1,NA,NA,1,S,2,17,4,2,1,1,1,1
2709,205491,1,2,4,3,2,2,2,3,1,2,2,1,3,NA,NA,5,6,3,1,1,NA,1,3,1,1,2,2,1,1,2,1,2,2,3,2,1,1,4,5,2,3,2,3,2,60,5,3,3,3,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,5,3,1,3,2,2,3,4,2,1,4,2,NA,NA,1,S,2,29,4,2,1,2,1,1
2230,203685,1,2,2,5,2,2,2,1,1,2,2,2,2,NA,NA,8,6,1,2,1,NA,4,9,2,1,NA,1,3,1,2,1,2,2,2,2,1,2,3,4,4,5,2,4,1,78,6,4,2,1,2,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,2,4,6,1,1,NA,1,1,1,1,4,3,3,NA,NA,1,S,1,36,4,0,1,3,1,1
2585,205002,3,1,2,2,2,1,2,1,2,4,3,3,NA,NA,2,4,6,3,1,3,1,4,1,1,1,2,1,2,NA,NA,NA,3,1,3,3,2,2,1,2,3,3,3,2,1,59,5,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,5,9,1,1,NA,1,1,2,1,4,2,2,NA,NA,2,R,3,24,2,0,1,2,0,1
1820,202102,2,1,2,1,1,1,2,1,2,2,2,2,NA,2,NA,5,6,3,1,1,NA,1,1,2,1,2,1,2,2,2,2,3,3,2,2,2,2,3,4,2,2,2,3,2,42,3,2,4,1,1,2,2,NA,NA,NA,2,2,2,NA,1,1,NA,1,3,5,2,2,NA,2,5,4,1,NA,3,2,NA,NA,2,U,3,48,5,1,1,2,0,1
3510,208787,3,1,1,1,1,2,2,2,2,4,1,1,NA,NA,2,6,5,3,2,1,NA,2,1,1,1,1,1,2,1,1,2,3,2,2,2,1,2,3,5,5,4,1,1,2,46,4,2,4,1,1,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,2,8,1,1,NA,1,2,3,1,1,4,2,NA,NA,1,S,4,53,2,2,1,2,1,1
2269,203829,1,2,9,1,2,2,9,1,9,2,1,1,2,NA,NA,8,6,3,1,1,NA,3,2,1,1,1,1,1,2,1,1,3,2,2,2,1,2,1,5,2,4,2,5,2,24,1,1,5,6,2,2,1,3,NA,NA,4,5,4,NA,1,12,NA,NA,6,6,1,2,NA,2,5,5,2,1,2,2,NA,NA,2,U,1,36,5,0,1,2,0,1
1961,202677,2,1,1,1,2,2,2,1,1,2,1,1,NA,2,NA,4,6,2,2,2,1,4,1,1,1,NA,1,2,NA,NA,NA,1,1,1,1,2,2,2,3,2,2,2,3,1,70,6,4,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,5,8,1,3,1,1,3,2,1,NA,2,2,NA,NA,2,U,2,55,3,0,1,2,0,1
2873,206165,2,1,2,1,2,2,2,1,1,2,2,1,NA,2,NA,5,6,3,1,1,NA,3,1,2,1,2,2,1,2,1,2,4,1,1,2,1,2,1,4,3,2,1,5,1,59,5,3,3,3,2,2,1,NA,NA,NA,1,1,1,NA,1,1,1,2,5,9,1,3,1,1,3,2,2,4,1,NA,NA,NA,1,R,4,53,1,0,1,1,1,1
3591,209125,3,2,2,2,1,2,2,9,9,1,1,2,NA,NA,2,8,6,3,1,1,NA,1,1,2,1,1,2,3,1,1,1,2,9,9,1,2,2,2,5,1,1,1,5,1,41,3,2,4,1,1,2,3,NA,NA,NA,4,5,3,NA,2,8,NA,NA,4,8,3,3,2,2,3,3,2,4,3,2,NA,NA,2,S,1,9,4,1,1,2,0,1
378,101644,2,1,3,3,2,2,2,2,1,2,1,2,NA,2,NA,6,6,3,1,1,NA,3,1,2,2,1,2,1,2,1,1,3,3,3,2,1,1,1,4,2,3,1,3,2,41,3,2,4,1,1,1,7,NA,NA,NA,3,3,5,1,NA,12,NA,NA,6,5,1,2,NA,2,5,5,2,1,4,2,1,NA,NA,U,4,35,3,2,1,2,1,1
4565,212931,2,1,1,1,2,2,2,1,1,4,2,1,NA,2,NA,5,2,3,1,1,NA,1,1,2,1,1,1,2,1,1,2,2,1,1,2,1,2,5,3,5,3,3,2,1,43,3,2,4,1,1,2,2,NA,NA,NA,2,2,2,NA,1,1,NA,1,1,8,1,2,NA,2,4,3,1,1,5,4,NA,NA,2,S,3,37,3,1,1,3,0,1
4681,213450,1,2,4,2,2,2,2,1,1,1,2,2,3,NA,NA,6,6,3,1,2,1,1,2,2,2,1,2,1,4,1,3,2,3,3,2,3,2,3,5,2,3,5,5,1,28,2,1,5,1,2,2,2,NA,NA,NA,2,2,2,NA,4,1,NA,2,2,3,1,2,NA,2,5,4,2,4,2,2,NA,NA,1,S,3,48,5,0,1,2,1,1
3255,207774,1,1,3,2,1,2,2,1,1,1,2,2,5,NA,NA,4,4,3,1,1,NA,3,2,1,2,1,1,1,NA,NA,NA,5,3,2,3,3,2,1,3,1,1,1,2,1,21,1,1,5,6,2,2,2,NA,NA,NA,2,2,2,NA,1,13,NA,1,3,6,1,2,NA,2,4,3,4,1,2,1,NA,NA,2,S,2,29,4,1,1,1,0,1
3498,208749,2,1,1,1,1,1,2,9,1,3,2,2,NA,2,NA,3,6,3,1,1,NA,1,1,1,1,2,1,2,NA,NA,NA,3,3,2,3,1,2,2,1,3,2,1,2,1,69,6,4,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,13,NA,1,2,6,1,1,NA,1,1,1,1,4,3,3,NA,NA,2,U,4,56,1,0,1,3,0,1
1932,202543,3,1,1,1,2,2,2,1,1,1,1,4,NA,NA,2,5,6,3,1,1,NA,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,3,1,1,3,1,3,1,45,4,2,4,1,1,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,8,1,1,NA,1,1,1,1,NA,4,2,NA,NA,1,S,3,24,4,2,1,2,1,1
1479,200940,2,1,2,1,2,2,2,2,1,3,2,1,NA,3,NA,6,4,3,2,1,NA,1,2,2,1,2,2,1,1,1,2,2,3,4,3,2,1,2,5,2,5,1,5,1,22,1,1,5,6,2,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,2,1,2,1,3,1,1,3,2,2,NA,3,3,NA,NA,2,U,3,48,3,0,1,3,0,1
160,100658,1,1,2,1,2,1,1,1,1,1,1,2,2,NA,NA,1,6,3,2,1,NA,4,3,1,NA,2,1,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,38,3,2,4,2,1,1,7,NA,NA,NA,3,4,5,3,NA,2,NA,2,6,1,3,3,9,9,3,5,2,4,5,4,2,1,NA,U,1,36,5,1,1,3,1,0
3246,207742,3,1,4,1,2,2,2,1,1,1,1,1,NA,NA,3,2,6,3,1,1,NA,1,2,2,NA,1,2,2,NA,NA,NA,1,1,1,1,1,1,1,3,3,1,1,1,1,39,3,2,4,1,1,2,5,NA,NA,NA,4,5,5,NA,1,1,NA,1,4,3,3,4,2,2,9,9,2,4,7,5,NA,NA,2,R,3,45,1,2,1,3,0,1
2255,203784,2,1,3,2,2,2,2,2,2,4,2,3,NA,3,NA,3,6,3,1,1,NA,1,3,1,2,2,1,2,NA,NA,NA,4,2,2,2,2,2,2,1,4,4,2,1,1,52,4,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,5,7,1,3,1,1,3,2,1,4,2,2,NA,NA,2,S,2,19,3,0,1,2,0,1
490,102109,3,1,4,2,2,1,1,1,1,1,1,1,NA,NA,2,8,6,3,1,1,NA,4,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,4,1,3,1,5,1,64,5,3,3,1,2,2,2,NA,NA,NA,2,2,2,NA,2,1,NA,2,2,99,1,2,NA,2,5,4,1,4,2,2,1,NA,NA,S,3,12,4,0,1,2,1,1
